QP,Nat,Athlete,Status,Details
1,KEN,Beatrice CHEBET,Qualified by Entry Standard,"28:54.14 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
2,ETH,Gudaf TSEGAY,Qualified by Entry Standard,"29:05.92 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
3,KEN,Lilian Kasait RENGERUK,Qualified by Entry Standard,"29:26.89 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
4,KEN,Margaret Chelimo KIPKEMBOI,Qualified by Entry Standard,"29:27.59 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
5,NED,Sifan HASSAN,Qualified by Entry Standard,"29:37.80 - FBK Stadium, Hengelo (NED) - 03 JUN 2023"
,KEN,Grace Loibach NAWOWUNA,Qualified by Entry Standard,"29:47.42 - FBK Stadium, Hengelo (NED) - 03 JUN 2023"
6,ETH,Fotyen TESFAY,Qualified by Entry Standard,"29:47.71 - Estadio Enrique Lopez Cuenca, Nerja (ESP) - 14 JUN 2024"
7,ETH,Tsigie GEBRESELAMA,Qualified by Entry Standard,"29:48.34 - JSerra Catholic HS, San Juan Capistrano, CA (USA) - 16 MAR 2024"
,ETH,Ejgayehu TAYE,Qualified by Entry Standard,"29:50.52 - Estadio Enrique Lopez Cuenca, Nerja (ESP) - 14 JUN 2024"
,ETH,Mizan ALEM,Qualified by Entry Standard,"29:59.03 - Parliament Hill Fields Athletics Track, London (GBR) - 20 MAY 2023"
,ETH,Lemlem HAILU,Qualified by Entry Standard,"29:59.15 - Estadio Enrique Lopez Cuenca, Nerja (ESP) - 23 JUN 2023"
8,GBR,Eilish MCCOLGAN,Qualified by Entry Standard,"30:00.86 - JSerra Catholic HS, San Juan Capistrano, CA (USA) - 04 MAR 2023"
9,USA,Alicia MONSON,Qualified by Entry Standard,"30:03.82 - JSerra Catholic HS, San Juan Capistrano, CA (USA) - 04 MAR 2023"
,KEN,Janeth CHEPNGETICH,Qualified by Entry Standard,"30:04.97 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
,KEN,Emmaculate Anyango ACHOL,Qualified by Entry Standard,"30:06.43 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
,KEN,Catherine Reline AMANANG'OLE,Qualified by Entry Standard,"30:07.42 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
,ETH,Aynadis MEBRATU,Qualified by Entry Standard,"30:09.05 - Estadio Enrique Lopez Cuenca, Nerja (ESP) - 14 JUN 2024"
,KEN,Faith CHEPKOECH,Qualified by Entry Standard,"30:22.77 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
,ETH,Girmawit GEBRZIHAIR,Qualified by Entry Standard,"30:23.69 - Estadio Enrique Lopez Cuenca, Nerja (ESP) - 23 JUN 2023"
10,UGA,Sarah CHELANGAT,Qualified by Entry Standard,"30:24.04 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
