QP,Nat,Athlete,Status,Details
1,JAM,Shericka JACKSON,Qualified by Entry Standard,"10.65 - (+1.0) - National Stadium, Kingston (JAM) - 07 JUL 2023"
2,USA,Sha'Carri RICHARDSON,Qualified by Entry Standard,"10.65 - (-0.2) - Nemzeti Atlétikai Központ, Budapest (HUN) - 21 AUG 2023"
3,CIV,Marie-Josée TA LOU-SMITH,Qualified by Entry Standard,"10.75 - (+1.2) - Olympic Stadium, London (GBR) - 23 JUL 2023"
4,JAM,Shelly-Ann FRASER-PRYCE,Qualified by Entry Standard,"10.77 - (-0.2) - Nemzeti Atlétikai Központ, Budapest (HUN) - 21 AUG 2023"
5,USA,Jacious SEARS,Qualified by Entry Standard,"10.77 - (+1.6) - Percy Beard Track, Gainesville, FL (USA) - 13 APR 2024"
6,LCA,Julien ALFRED,Qualified by Entry Standard,"10.78 - (+1.3) - National Stadium, Kingston (JAM) - 01 JUN 2024"
7,JAM,Elaine THOMPSON-HERAH,Qualified by Entry Standard,"10.79 - (+0.8) - Hayward Field, Eugene, OR (USA) - 16 SEP 2023"
8,USA,Melissa JEFFERSON,Qualified by Entry Standard,"10.80 - (+0.8) - Hayward Field, Eugene, OR (USA) - 22 JUN 2024"
,USA,Twanisha TERRY,Qualified by Entry Standard,"10.83 - (+0.8) - Hayward Field, Eugene, OR (USA) - 16 SEP 2023"
9,GBR,Dina ASHER-SMITH,Qualified by Entry Standard,"10.85 - (+1.2) - Olympic Stadium, London (GBR) - 23 JUL 2023"
,JAM,Natasha MORRISON,Qualified by Entry Standard,"10.85 - (+0.8) - Hayward Field, Eugene, OR (USA) - 16 SEP 2023"
,JAM,Tia CLAYTON,Qualified by Entry Standard,"10.86 - (+1.0) - National Stadium, Kingston (JAM) - 28 JUN 2024"
,USA,Aleia HOBBS,Qualified by Entry Standard,"10.88 - (+0.5) - LSU Bernie Moore Stadium, Baton Rouge, LA (USA) - 20 APR 2024"
10,NGR,Rosemary CHUKWUMA,Qualified by Entry Standard,"10.88 - (+1.2) - John McDonnell Field, Fayetteville, AR (USA) - 25 MAY 2024"
,USA,Brittany BROWN,Qualified by Entry Standard,"10.90 - (+0.7) - Hayward Field, Eugene, OR (USA) - 07 JUL 2023"
,JAM,Brianna LYSTON,Qualified by Entry Standard,"10.91 - (+0.3) - Percy Beard Track, Gainesville, FL (USA) - 11 MAY 2024"
,USA,Mckenzie LONG,Qualified by Entry Standard,"10.91 - (0.0) - Hayward Field, Eugene, OR (USA) - 06 JUN 2024"
,USA,Tamari DAVIS,Qualified by Entry Standard,"10.91 - (+0.8) - Hayward Field, Eugene, OR (USA) - 22 JUN 2024"
11,GAM,Gina Mariam BASS BITTAYE,Qualified by Entry Standard,"10.93 - (+0.5) - Stade L. Achille, Fort-de-France (FRA) - 18 MAY 2024"
12,POL,Ewa SWOBODA,Qualified by Entry Standard,"10.94 - (+0.2) - Stadion Śląski, Chorzów (POL) - 16 JUL 2023"
