QP,Nat,Athlete,Status,Details
1,ETH,Gudaf TSEGAY,Qualified by Entry Standard,"14:00.21 - Hayward Field, Eugene, OR (USA) - 17 SEP 2023"
2,KEN,Beatrice CHEBET,Qualified by Entry Standard,"14:05.92 - Hayward Field, Eugene, OR (USA) - 17 SEP 2023"
3,ETH,Letesenbet GIDEY,Qualified by Entry Standard,"14:08.79 - Olympiastadion, Berlin (GER) - 03 SEP 2023"
4,NED,Sifan HASSAN,Qualified by Entry Standard,"14:13.42 - Olympic Stadium, London (GBR) - 23 JUL 2023"
5,ETH,Medina EISA,Qualified by Entry Standard,"14:16.54 - Olympic Stadium, London (GBR) - 23 JUL 2023"
,ETH,Tsigie GEBRESELAMA,Qualified by Entry Standard,"14:18.76 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
,ETH,Ejgayehu TAYE,Qualified by Entry Standard,"14:18.92 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
6,USA,Alicia MONSON,Qualified by Entry Standard,"14:19.45 - Olympic Stadium, London (GBR) - 23 JUL 2023"
,ETH,Freweyni HAILU,Qualified by Entry Standard,"14:20.61 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
,ETH,Aynadis MEBRATU,Qualified by Entry Standard,"14:22.76 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
,ETH,Birke HAYLOM,Qualified by Entry Standard,"14:23.71 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
7,KEN,Lilian Kasait RENGERUK,Qualified by Entry Standard,"14:26.46 - Boudewijnstadion, Bruxelles (BEL) - 08 SEP 2023"
8,JPN,Nozomi TANAKA,Qualified by Entry Standard,"14:29.18 - Boudewijnstadion, Bruxelles (BEL) - 08 SEP 2023"
9,KEN,Faith KIPYEGON,Qualified by Entry Standard,"14:32.31 - Nemzeti Atlétikai Központ, Budapest (HUN) - 23 AUG 2023"
,ETH,Hirut MESHESHA,Qualified by Entry Standard,"14:33.44 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
10,USA,Elle ST. PIERRE,Qualified by Entry Standard,"14:34.12 - Drake Stadium, Los Angeles, CA (USA) - 17 MAY 2024"
,ETH,Fotyen TESFAY,Qualified by Entry Standard,"14:34.21 - Le Grand Stade, Marrakech (MAR) - 19 MAY 2024"
,ETH,Fantaye BELAYNEH,Qualified by Entry Standard,"14:35.27 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
11,ITA,Nadia BATTOCLETTI,Qualified by Entry Standard,"14:35.29 - Stadio Olimpico, Roma (ITA) - 07 JUN 2024"
12,USA,Weini KELATI FREZGHI,Qualified by Entry Standard,"14:35.43 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
,KEN,Edinah JEBITOK,Qualified by Entry Standard,"14:35.64 - Le Grand Stade, Marrakech (MAR) - 19 MAY 2024"
13,VEN,Joselyn Daniely BREA,Qualified by Entry Standard,"14:36.59 - Drake Stadium, Los Angeles, CA (USA) - 17 MAY 2024"
,ETH,Mekedes ALEMESHETE,Qualified by Entry Standard,"14:36.70 - Suzhou Olympic Sports Centre, Suzhou (CHN) - 27 APR 2024"
,ETH,Ayal DAGNACHEW,Qualified by Entry Standard,"14:36.86 - Suzhou Olympic Sports Centre, Suzhou (CHN) - 27 APR 2024"
,ETH,Wubrist ASCHAL,Qualified by Entry Standard,"14:37.28 - Suzhou Olympic Sports Centre, Suzhou (CHN) - 27 APR 2024"
,ETH,Senayet GETACHEW,Qualified by Entry Standard,"14:37.38 - Hayward Field, Eugene, OR (USA) - 25 MAY 2024"
,KEN,Caroline NYAGA,Qualified by Entry Standard,"14:37.80 - Suzhou Olympic Sports Centre, Suzhou (CHN) - 27 APR 2024"
